Island,Site,Web #,Native,Netting,Start Date,End Date,Total Days,SpidPres,WebPres,WebSize(cm)
Saipan,LADT,G'P,yes,no,23-Jul,1-Aug,9,yes,no,71
Saipan,MTR,G'Q,yes,no,26-Jul,29-Jul,3,no,yes,34
Saipan,MTR,G'R,yes,no,26-Jul,27-Jul,1,no,yes,41
Saipan,Forbi,G'S,yes,no,27-Jul,29-Jul,2,no,yes,37
Saipan,Forbi,G'T,yes,no,27-Jul,31-Jul,4,no,no,51
Saipan,Forbi,G'U,yes,no,27-Jul,29-Jul,2,no,yes,55
Saipan,LADT,G'V,yes,no,23-Jul,24-Jul,1,no,yes,50
Saipan,LADT,G'W,no,no,30-Jul,31-Jul,1,no,yes,43
Saipan,LADT,G'X,no,no,30-Jul,31-Jul,1,no,yes,59
Saipan,LADT,G'Y,no,no,30-Jul,31-Jul,1,no,yes,44
Saipan,LADT,G'Z,no,no,30-Jul,31-Jul,1,no,yes,61
Saipan,LADT,H'A,no,no,30-Jul,31-Jul,1,no,yes,55
Saipan,LADT,H'B,no,no,30-Jul,31-Jul,1,no,yes,33
Saipan,LADT,H'C,no,no,30-Jul,31-Jul,1,no,yes,53
Siapan,LADT,H'D,no,no,30-Jul,2-Aug,3,no,yes,46
Saipan,LADT,H'E,no,no,1-Aug,2-Aug,1,no,yes,55
Saipan,LADT,H'F,no,no,1-Aug,2-Aug,1,no,yes,48
Saipan,LADT,H'G,no,no,1-Aug,2-Aug,1,no,yes,51
Saipan,LADT,H'H,no,no,1-Aug,2-Aug,1,no,yes,59
Saipan,LADT,H'I,no,no,1-Aug,3-Aug,2,no,yes,57
Saipan,LADT,H'J,no,no,1-Aug,4-Aug,3,no,yes,49
Saipan,Forbi,H'K,no,no,1-Aug,2-Aug,1,no,yes,52
Saipan,Forbi,H'L,no,no,1-Aug,2-Aug,1,no,yes,31
Saipan,Forbi,H'M,no,no,1-Aug,2-Aug,1,no,no,27
Saipan,Forbi,H'N,no,no,1-Aug,3-Aug,2,no,yes,51
Saipan,Forbi,H'O,no,no,1-Aug,4-Aug,3,no,yes,47
Saipan,Forbi,H'P,no,no,1-Aug,5-Aug,4,no,yes,62
Saipan,Forbi,H'Q,no,yes,1-Aug,2-Aug,1,no,no,55
Saipan,Forbi,H'R,no,yes,1-Aug,4-Aug,3,no,yes,45
Saipan,Forbi,H'S,no,yes,1-Aug,5-Aug,4,no,no,49
Saipan,Forbi,H'T,no,yes,1-Aug,6-Aug,5,no,no,46
Saipan,Forbi,H'U,no,yes,1-Aug,7-Aug,7,yes,no,56
Saipan,LADT,H'V,no,yes,30-Jul,2-Aug,3,no,yes,51
Saipan,LADT,H'W,no,yes,30-Jul,2-Aug,3,no,no,57
Saipan,LADT,H'X,no,yes,30-Jul,3-Aug,4,no,yes,44
Saipan,LADT,H'Y,no,yes,30-Jul,6-Aug,6,no,no,48
Saipan,LADT,H'Z,no,yes,30-Jul,6-Aug,7,yes,yes,57
Saipan,LADT,I'A,no,yes,30-Jul,7-Aug,8,yes,yes,49
Saipan,LADT,I'B,no,yes,1-Aug,2-Aug,1,no,yes,34
Saipan,LADT,I'C,no,yes,1-Aug,4-Aug,3,no,yes,41
