"specimen","country","region","species","habit","general_habit","habitat","general_habitat","ab_papillae_long_cells_stomatal","ab_papillae_long_cells_interstomatal","ab_bifurcated_papillae_long_cells_stomatal","ab_bifurcated_papillae_long_cells_interstomatal","ab_branch_papillae_long_cells_stomatal","ab_branch_papillae_long_cells_interstomatal","ab_prickle","ab_bimicro","ab_macro","ab_bilobate_intercostal","ab_ridged_saddle_intercostal","ab_smooth_saddle_intercostal","ab_vertically_elongated_rounded_intercostal","ab_reniform_intercostal","ab_nodular_intercostal","ab_bilobate_costal","ab_ridged_saddle_costal","ab_smooth_saddle_costal","ab_vertically_elongated_rounded_costal","ab_reniform_costal","ab_nodular_costal","ab_triangular_sub_cells","ab_dome_sub_cells","ab_parallel_sub_cells","ad_stomata","ad_stomata_freq","ad_papillae_long_cells_stomatal","ad_papillae_long_cells_interstomatal","ad_bifurcated_papillae_long_cells_stomatal","ad_bifurcated_papillae_long_cells_interstomatal","ad_branch_papillae_long_cells_stomatal","ad_branch_papillae_long_cells_interstomatal","ad_papillae_overarch","ad_papillae_bulliform","ad_prickle","ad_bimicro","ad_macro","ad_bilobate_intercostal","ad_ridged_saddle_intercostal","ad_smooth_saddle_intercostal","ad_vertically_elongated_rounded_intercostal","ad_reniform_intercostal","ad_nodular_intercostal","ad_bilobate_costal","ad_ridged_saddle_costal","ad_smooth_saddle_costal","ad_vertically_elongated_rounded_costal","ad_reniform_costal","ad_nodular_costal","ad_triangular_sub_cells","ad_dome_sub_cells","ad_parallel_sub_cells"
"g_aculeata_clark_and_tenorio_948","mexico","central_america","g_aculeata","big_erect","erect_or_climbing","forest","general_forest","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","1","0","0","1","1","1","1","1","1","1","1","0","0","0","0","0","0","x","0","1","0","1","1","0","0","0","1","1","1","0","0","0","1","1","1","1","0"
"g_aculeata_clark_and_tenorio_949","mexico","mexico","g_aculeata","big_erect","erect_or_climbing","forest","general_forest","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","1","0","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","x","0","0","0","0","1","0","0","1","1","1","0","0","1","0","1","1","0","0","1"
"g_aculeata_liebmann_131","mexico","mexico","g_aculeata","big_erect","erect_or_climbing","forest","general_forest","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1","0","1","1","1","0","0","1","0","1","0","0","0","0","0","0","0","x","0","0","0","0","1","0","0","1","1","1","1","0","1","1","1","0","0","1","1"
"g_aculeata_liebmann_141","mexico","mexico","g_aculeata","big_erect","erect_or_climbing","forest","general_forest","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","1","0","1","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","1","0","1","0","0","0","0","0","1"
"g_aculeata_little_25168","nicaragua","central_america","g_aculeata","big_erect","erect_or_climbing","forest","general_forest","0","0","0","0","0","0","0","1","0","1","0","0","1","1","1","1","0","1","1","1","0","0","1","1","1","1","0","0","0","0","0","0","x","0","1","0","0","1","0","0","1","1","1","1","0","0","1","1","0","0","1","1"
"g_aculeata_mcclure_21556","nicaragua","central_america","g_aculeata","big_erect","erect_or_climbing","forest","general_forest","0","0","0","0","0","0","1","1","0","1","0","0","1","1","1","1","0","1","0","1","1","0","1","1","1","0","0","0","0","0","0","0","x","0","0","0","0","0","0","0","1","1","1","1","0","1","0","0","0","0","1","0"
"g_aculeata_mcclure_21572","guatemala","central_america","g_aculeata","big_erect","erect_or_climbing","forest","general_forest","0","0","0","0","0","0","1","1","0","0","0","0","1","1","1","1","0","1","1","1","0","1","1","0","1","0","0","0","0","0","0","0","x","0","0","0","0","1","0","0","1","1","1","1","0","1","0","0","0","1","1","0"
"g_aculeata_mcclure_21675","guatemala","central_america","g_aculeata","big_erect","erect_or_climbing","forest","general_forest","0","0","0","0","0","0","0","1","0","1","0","0","1","1","1","1","0","1","0","0","0","0","1","1","1","1","0","0","0","0","0","0","x","0","0","0","0","1","0","0","1","1","1","1","0","0","1","1","0","0","0","1"
"g_aculeata_ortiz_2059","nicaragua","central_america","g_aculeata","big_erect","erect_or_climbing","forest","general_forest","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","1","0","1","1","1","0","0","1","0","1","0","0","0","0","0","0","0","x","0","1","0","1","1","0","0","1","1","1","1","0","0","0","0","1","0","1","0"
"g_aculeata_stevens_and_moreno_19690","nicaragua","central_america","g_aculeata","big_erect","erect_or_climbing","forest","general_forest","0","0","0","0","0","0","1","1","0","1","0","0","1","1","1","1","0","1","0","0","0","0","1","1","1","1","0","0","0","0","0","0","x","0","1","0","0","1","0","0","0","1","1","1","0","1","1","1","0","0","1","1"
