"island","site","web","totalprey","observation","numprey"
"guam","riti","A",5,"obs1","5"
"guam","riti","B",5,"obs1","5"
"guam","riti","C",5,"obs1","5"
"guam","riti","D",6,"obs1","6"
"guam","riti","F",3,"obs1","3"
"guam","riti","G",1,"obs1","1"
"guam","riti","H",3,"obs1","3"
"guam","riti","I",2,"obs1","2"
"guam","riti","J",5,"obs1","5"
"guam","riti","K",2,"obs1","2"
"guam","riti","L",2,"obs1","2"
"guam","riti","M",2,"obs1","2"
"guam","riti","N",1,"obs1","1"
"guam","riti","O",0,"obs1","0"
"guam","riti","P",0,"obs1","0"
"guam","riti","Q",0,"obs1","0"
"guam","riti","R",2,"obs1","2"
"guam","riti","S",0,"obs1","0"
"guam","riti","T",0,"obs1","0"
"guam","riti","U",0,"obs1","0"
"guam","riti","W",1,"obs1","1"
"guam","riti","X",2,"obs1","2"
"guam","riti","Y",2,"obs1","2"
"guam","riti","Z",3,"obs1","3"
"guam","riti","A'",5,"obs1","5"
"guam","riti","B'",1,"obs1","1"
"guam","riti","C'",1,"obs1","1"
"guam","riti","D'",2,"obs1","2"
"guam","riti","E'",1,"obs1","1"
"guam","riti","F'",1,"obs1","1"
"guam","riti","G'",3,"obs1","3"
"guam","riti","H'",0,"obs1","0"
"guam","riti","I'",0,"obs1","0"
"guam","riti","J'",0,"obs1","0"
"guam","riti","K'",2,"obs1","2"
"guam","riti","L'",0,"obs1","0"
"guam","riti","M'",1,"obs1","1"
"guam","riti","N'",0,"obs1","0"
"guam","riti","O'",0,"obs1","0"
"guam","riti","P'",0,"obs1","0"
"guam","riti","Q'",0,"obs1","0"
"guam","riti","R'",5,"obs1","5"
"guam","riti","S'",0,"obs1","0"
"guam","riti","T'",0,"obs1","0"
"guam","riti","U'",0,"obs1","0"
"guam","riti","V'",0,"obs1","0"
"guam","riti","W'",0,"obs1","0"
"guam","riti","X'",0,"obs1","0"
"guam","riti","Y'",0,"obs1","0"
"guam","nbla","Z'",0,"obs1","0"
"guam","nbla","A'A",0,"obs1","0"
"guam","nbla","A'B",0,"obs1","0"
"guam","nbla","A'C",1,"obs1","1"
"guam","nbla","A'D",0,"obs1","0"
"guam","nbla","A'E",1,"obs1","1"
"guam","nbla","A'F",0,"obs1","0"
"guam","nbla","A'G",0,"obs1","0"
"guam","nbla","A'H",2,"obs1","2"
"guam","nbla","A'I",1,"obs1","1"
"guam","nbla","A'J",3,"obs1","3"
"guam","nbla","A'K",0,"obs1","0"
"guam","nbla","A'L",0,"obs1","0"
"guam","nbla","A'M",0,"obs1","0"
"guam","nbla","A'N",2,"obs1","2"
"guam","nbla","A'O",0,"obs1","0"
"guam","nbla","A'P",1,"obs1","1"
"guam","sbla","A'Q",0,"obs1","0"
"guam","sbla","A'R",0,"obs1","0"
"guam","sbla","A'S",0,"obs1","0"
"guam","sbla","A'T",0,"obs1","0"
"guam","sbla","A'U",0,"obs1","0"
"guam","sbla","A'V",0,"obs1","0"
"guam","sbla","A'W",0,"obs1","0"
"guam","sbla","A'X",0,"obs1","0"
"guam","sbla","A'Y",1,"obs1","0"
"guam","sbla","A'Z",0,"obs1","0"
"guam","sbla","B'A",0,"obs1","0"
"guam","sbla","B'B",1,"obs1","0"
"guam","sbla","B'C",0,"obs1","0"
"guam","sbla","B'D",0,"obs1","0"
"guam","sbla","B'E",0,"obs1","0"
"guam","sbla","B'F",1,"obs1","0"
"guam","sbla","B'G",0,"obs1","0"
"guam","sbla","B'H",1,"obs1","0"
"guam","sbla","B'I",0,"obs1","0"
"guam","sbla","B'J",0,"obs1","0"
"guam","sbla","B'K",1,"obs1","0"
"guam","sbla","B'L",0,"obs1","0"
"guam","sbla","B'M",0,"obs1","0"
"guam","sbla","B'N",0,"obs1","0"
"guam","sbla","B'O",0,"obs1","0"
"guam","sbla","B'P",0,"obs1","0"
"guam","sbla","B'Q",0,"obs1","0"
"guam","sbla","B'R",1,"obs1","0"
"guam","sbla","B'S",0,"obs1","0"
"guam","sbla","B'T",1,"obs1","0"
"guam","sbla","B'U",0,"obs1","0"
"guam","sbla","B'V",1,"obs1","0"
"guam","sbla","B'W",0,"obs1","0"
"guam","sbla","B'X",0,"obs1","0"
"guam","sbla","B'Y",0,"obs1","0"
"guam","sbla","B'Z",2,"obs1","0"
"guam","sbla","C'A",0,"obs1","0"
"guam","sbla","C'B",0,"obs1","0"
"guam","sbla","C'C",0,"obs1","0"
"guam","sbla","C'D",0,"obs1","0"
"guam","sbla","C'E",2,"obs1","2"
"guam","anao","C'F",0,"obs1","0"
"guam","anao","C'G",0,"obs1","0"
"guam","anao","C'H",0,"obs1","0"
"guam","anao","C'I",0,"obs1","0"
"guam","anao","C'J",5,"obs1","5"
"guam","anao","C'K",5,"obs1","5"
"guam","anao","C'L",2,"obs1","2"
"guam","anao","C'M",4,"obs1","4"
"guam","anao","C'N",6,"obs1","6"
"guam","anao","C'O",3,"obs1","3"
"guam","anao","C'P",6,"obs1","6"
"guam","anao","C'Q",0,"obs1","0"
"guam","anao","C;R",2,"obs1","2"
"guam","anao","C'S",2,"obs1","2"
"guam","anao","C'T",1,"obs1","1"
"guam","anao","C'U",0,"obs1","0"
"guam","anao","C'V",2,"obs1","2"
"guam","anao","C'W",2,"obs1","2"
"guam","anao","C'X",1,"obs1","1"
"guam","anao","C'Y",0,"obs1","0"
"guam","anao","C'Z",0,"obs1","0"
"guam","anao","D'A",3,"obs1","3"
"guam","anao","D'B",0,"obs1","0"
"guam","anao","D'C",0,"obs1","0"
"guam","anao","D'D",1,"obs1","1"
"guam","anao","D'E",1,"obs1","1"
"guam","anao","D'F",0,"obs1","0"
"guam","anao","D'G",0,"obs1","0"
"guam","anao","D'H",2,"obs1","2"
"guam","anao","D'J",1,"obs1","1"
"guam","anao","D'K",0,"obs1","0"
"guam","anao","D'L",1,"obs1","1"
"guam","anao","D'M",1,"obs1","1"
"guam","anao","D'N",0,"obs1","0"
"guam","anao","D'O",0,"obs1","0"
"guam","anao","D'P",0,"obs1","0"
"guam","anao","D'Q",2,"obs1","2"
"guam","anao","D'R",0,"obs1","0"
"guam","anao","D'S",4,"obs1","4"
"guam","anao","D'T",0,"obs1","0"
"guam","anao","D'U",0,"obs1","0"
"guam","anao","D'V",0,"obs1","0"
"guam","anao","D'W",4,"obs1","4"
"guam","anao","D'Y",0,"obs1","0"
"guam","anao","D'X",4,"obs1","4"
"guam","anao","D'Y",0,"obs1","0"
"guam","anao","D'Z",0,"obs1","0"
"guam","anao","E'A",4,"obs1","4"
"guam","anao","E'B",0,"obs1","0"
"guam","anao","E'C",3,"obs1","3"
"guam","anao","E'D",0,"obs1","0"
"guam","anao","E'E",1,"obs1","1"
"guam","anao","E'F",2,"obs1","2"
"guam","anao","E'G",2,"obs1","2"
"guam","anao","E'H",0,"obs1","0"
"guam","anao","E'I",5,"obs1","5"
"guam","anao","E'J",0,"obs1","0"
"guam","anao","E'K",1,"obs1","1"
"guam","anao","E'L",1,"obs1","1"
"guam","anao","E'M",0,"obs1","0"
"guam","anao","E'N",1,"obs1","1"
"guam","anao","E'O",1,"obs1","1"
"guam","anao","E'P",0,"obs1","0"
"guam","anao","E'Q",1,"obs1","1"
"guam","anao","E'R",1,"obs1","1"
"guam","anao","E'S",1,"obs1","1"
"guam","anao","E'T",1,"obs1","1"
"guam","anao","E'U",1,"obs1","1"
"guam","anao","E'V",1,"obs1","1"
"guam","anao","E'W",1,"obs1","1"
"guam","anao","E'X",1,"obs1","1"
"guam","anao","E'Y",4,"obs1","4"
"guam","anao","E'Z",1,"obs1","1"
"guam","anao","F'A",2,"obs1","2"
"guam","anao","F'B",2,"obs1","2"
"guam","anao","F'C",1,"obs1","1"
"guam","anao","F'D",0,"obs1","0"
"guam","anao","F'E",0,"obs1","0"
"guam","anao","F'F",0,"obs1","0"
"guam","anao","F'G",2,"obs1","2"
"guam","anao","F'H",0,"obs1","0"
"guam","anao","F'I",4,"obs1","4"
"guam","anao","F'J",0,"obs1","0"
"guam","anao","F'K",0,"obs1","0"
"guam","anao","F'L",2,"obs1","2"
"guam","anao","F'M",0,"obs1","0"
"guam","anao","F'N",1,"obs1","1"
"guam","anao","F'O",0,"obs1","0"
"guam","anao","F'P",0,"obs1","0"
"guam","anao","F'Q",0,"obs1","0"
"guam","anao","F'R",0,"obs1","0"
"guam","anao","F'S",6,"obs1","6"
"guam","anao","F'T",0,"obs1","0"
"guam","anao","F'U",0,"obs1","0"
"guam","anao","F'V",0,"obs1","0"
"guam","anao","F'W",0,"obs1","0"
"guam","anao","F'X",0,"obs1","0"
"guam","anao","F'Y",1,"obs1","1"
"guam","anao","F'Z",0,"obs1","0"
"guam","anao","G'A",1,"obs1","1"
"guam","anao","G'B",0,"obs1","0"
"guam","anao","G'C",0,"obs1","0"
"guam","anao","G'D",0,"obs1","0"
"guam","anao","G'E",0,"obs1","0"
"guam","anao","G'F",1,"obs1","1"
"guam","anao","G'G",0,"obs1","0"
"guam","anao","G'H",0,"obs1","0"
"guam","anao","G'I",0,"obs1","0"
"guam","anao","G'J",0,"obs1","0"
"guam","anao","G'K",1,"obs1","1"
"guam","anao","G'L",0,"obs1","0"
"guam","anao","G'M",1,"obs1","1"
"saipan","mtr","G'N",0,"obs1","0"
"saipan","mtr","G'O",0,"obs1","0"
"saipan","ladt","G'P",0,"obs1","0"
"saipan","mtr","G'Q",0,"obs1","0"
"saipan","mtr","G'R",0,"obs1","0"
"saipan","forb","G'S",0,"obs1","0"
"saipan","forb","G'T",0,"obs1","0"
"saipan","forb","G'U",3,"obs1","0"
"saipan","ladt","G'V",0,"obs1","0"
"saipan","ladt","G'W",0,"obs1","0"
"saipan","ladt","G'X",2,"obs1","2"
"saipan","ladt","G'Y",0,"obs1","0"
"saipan","ladt","G'Z",0,"obs1","0"
"saipan","ladt","H'A",0,"obs1","0"
"saipan","ladt","H'B",1,"obs1","1"
"saipan","ladt","H'C",0,"obs1","0"
"saipan","ladt","H'D",0,"obs1","0"
"saipan","ladt","H'E",0,"obs1","0"
"saipan","ladt","H'F",0,"obs1","0"
"saipan","ladt","H'G",0,"obs1","0"
"saipan","ladt","H'H",0,"obs1","0"
"saipan","ladt","H'I",0,"obs1","0"
"saipan","ladt","H'J",0,"obs1","0"
"saipan","forb","H'K",0,"obs1","0"
"saipan","forb","H'L",0,"obs1","0"
"saipan","forb","H'M",0,"obs1","0"
"saipan","forb","H'N",0,"obs1","0"
"saipan","forb","H'O",1,"obs1","0"
"saipan","forb","H'P",0,"obs1","0"
"saipan","forb","H'Q",0,"obs1","0"
"saipan","forb","H'R",0,"obs1","0"
"saipan","forb","H'S",0,"obs1","0"
"saipan","forb","H'T",0,"obs1","0"
"saipan","forb","H'U",1,"obs1","0"
"saipan","ladt","H'V",2,"obs1","1"
"saipan","ladt","H'W",0,"obs1","0"
"saipan","ladt","H'X",0,"obs1","0"
"saipan","ladt","H'Y",0,"obs1","0"
"saipan","ladt","H'Z",0,"obs1","0"
"saipan","ladt","I'A",1,"obs1","0"
"saipan","ladt","I'B",0,"obs1","0"
"saipan","ladt","I'C",0,"obs1","0"
"saipan","ladt","I'D",0,"obs1","0"
"saipan","ladt","I'E",0,"obs1","0"
"saipan","ladt","I'F",1,"obs1","0"
"saipan","ladt","I'G",0,"obs1","0"
"saipan","ladt","I'H",0,"obs1","0"
"saipan","ladt","I'I",1,"obs1","1"
"saipan","ladt","I'J",0,"obs1","0"
"saipan","forb","I'K",0,"obs1","0"
"saipan","forb","I'L",0,"obs1","0"
"saipan","ladt","I'M",1,"obs1","1"
"saipan","ladt","I'N",0,"obs1","0"
"saipan","forb","I'O",0,"obs1","0"
"saipan","forb","I'P",0,"obs1","0"
"saipan","ladt","G'P",0,"obs2","0"
"saipan","mtr","G'Q",0,"obs2","0"
"saipan","forb","G'S",0,"obs2","0"
"saipan","forb","G'T",0,"obs2","0"
"saipan","forb","G'U",3,"obs2","3"
"saipan","ladt","H'D",0,"obs2","0"
"saipan","ladt","H'I",0,"obs2","0"
"saipan","ladt","H'J",0,"obs2","0"
"saipan","forb","H'N",0,"obs2","0"
"saipan","forb","H'O",1,"obs2","1"
"saipan","forb","H'P",0,"obs2","0"
"saipan","forb","H'R",0,"obs2","0"
"saipan","forb","H'S",0,"obs2","0"
"saipan","forb","H'T",0,"obs2","0"
"saipan","forb","H'U",1,"obs2","0"
"saipan","ladt","H'V",2,"obs2","0"
"saipan","ladt","H'W",0,"obs2","0"
"saipan","ladt","H'X",0,"obs2","0"
"saipan","ladt","H'Y",0,"obs2","0"
"saipan","ladt","H'Z",0,"obs2","0"
"saipan","ladt","I'A",1,"obs2","0"
"saipan","ladt","I'C",0,"obs2","0"
"saipan","ladt","I'D",0,"obs2","0"
"saipan","ladt","I'E",0,"obs2","0"
"saipan","ladt","I'F",1,"obs2","0"
"saipan","ladt","I'G",0,"obs2","0"
"saipan","ladt","I'H",0,"obs2","0"
"saipan","ladt","I'J",0,"obs2","0"
"saipan","ladt","I'N",0,"obs2","0"
"saipan","ladt","G'P",0,"obs3","0"
"saipan","mtr","G'Q",0,"obs3","0"
"saipan","forb","G'T",0,"obs3","0"
"saipan","forb","G'U",3,"obs3","0"
"saipan","ladt","H'D",0,"obs3","0"
"saipan","ladt","H'J",0,"obs3","0"
"saipan","forb","H'O",1,"obs3","0"
"saipan","forb","H'P",0,"obs3","0"
"saipan","forb","H'R",0,"obs3","0"
"saipan","forb","H'S",0,"obs3","0"
"saipan","forb","H'T",0,"obs3","0"
"saipan","forb","H'U",1,"obs3","1"
"saipan","ladt","H'V",2,"obs3","0"
"saipan","ladt","H'W",0,"obs3","0"
"saipan","ladt","H'X",0,"obs3","0"
"saipan","ladt","H'Y",0,"obs3","0"
"saipan","ladt","H'Z",0,"obs3","0"
"saipan","ladt","I'A",1,"obs3","0"
"saipan","ladt","I'C",0,"obs3","0"
"saipan","ladt","I'D",0,"obs3","0"
"saipan","ladt","I'E",0,"obs3","0"
"saipan","ladt","I'F",1,"obs3","0"
"saipan","ladt","G'P",0,"obs4","0"
"saipan","forb","G'T",0,"obs4","0"
"saipan","forb","H'P",0,"obs4","0"
"saipan","forb","H'S",0,"obs4","0"
"saipan","forb","H'T",0,"obs4","0"
"saipan","forb","H'U",1,"obs4","0"
"saipan","ladt","H'V",2,"obs4","1"
"saipan","ladt","H'X",0,"obs4","0"
"saipan","ladt","H'Y",0,"obs4","0"
"saipan","ladt","H'Z",0,"obs4","0"
"saipan","ladt","I'A",1,"obs4","1"
"saipan","ladt","I'D",0,"obs4","0"
"saipan","ladt","I'E",0,"obs4","0"
"saipan","ladt","I'F",1,"obs4","0"
"saipan","ladt","G'P",0,"obs5","0"
"saipan","forb","H'T",0,"obs5","0"
"saipan","forb","H'U",1,"obs5","0"
"saipan","ladt","H'V",2,"obs5","0"
"saipan","ladt","H'Y",0,"obs5","0"
"saipan","ladt","H'Z",0,"obs5","0"
"saipan","ladt","I'A",1,"obs5","0"
"saipan","ladt","I'E",0,"obs5","0"
"saipan","ladt","I'F",1,"obs5","1"
"saipan","ladt","G'P",0,"obs6","0"
"saipan","forb","H'U",1,"obs6","0"
"saipan","ladt","H'V",2,"obs6","0"
"saipan","ladt","H'Y",0,"obs6","0"
"saipan","ladt","H'Z",0,"obs6","0"
"saipan","ladt","I'A",1,"obs6","0"
"saipan","ladt","I'F",1,"obs6","0"
"saipan","ladt","G'P",0,"obs7","0"
"saipan","forb","H'U",1,"obs7","0"
"saipan","ladt","H'V",2,"obs7","0"
"saipan","ladt","H'Z",0,"obs7","0"
"saipan","ladt","I'A",1,"obs7","0"
"saipan","ladt","I'F",1,"obs7","0"
