"island","site","web","web_a","web_b","native","netting","startdate","enddate","spidpres","webpres","websize"
"Saipan","LADT","G'P","G","P","yes","no","23-Jul-2013","1-Aug-2013","yes","no",71
"Saipan","MTR","G'Q","G","Q","yes","no","26-Jul-2013","29-Jul-2013","no","yes",34
"Saipan","MTR","G'R","G","R","yes","no","26-Jul-2013","27-Jul-2013","no","yes",41
"Saipan","Forbi","G'S","G","S","yes","no","27-Jul-2013","29-Jul-2013","no","yes",37
"Saipan","Forbi","G'T","G","T","yes","no","27-Jul-2013","31-Jul-2013","no","no",51
"Saipan","Forbi","G'U","G","U","yes","no","27-Jul-2013","29-Jul-2013","no","yes",55
"Saipan","LADT","G'V","G","V","yes","no","23-Jul-2013","24-Jul-2013","no","yes",50
"Saipan","LADT","G'W","G","W","no","no","30-Jul-2013","31-Jul-2013","no","yes",43
"Saipan","LADT","G'X","G","X","no","no","30-Jul-2013","31-Jul-2013","no","yes",59
"Saipan","LADT","G'Y","G","Y","no","no","30-Jul-2013","31-Jul-2013","no","yes",44
"Saipan","LADT","G'Z","G","Z","no","no","30-Jul-2013","31-Jul-2013","no","yes",61
"Saipan","LADT","H'A","H","A","no","no","30-Jul-2013","31-Jul-2013","no","yes",55
"Saipan","LADT","H'B","H","B","no","no","30-Jul-2013","31-Jul-2013","no","yes",33
"Saipan","LADT","H'C","H","C","no","no","30-Jul-2013","31-Jul-2013","no","yes",53
"Siapan","LADT","H'D","H","D","no","no","30-Jul-2013","2-Aug-2013","no","yes",46
"Saipan","LADT","H'E","H","E","no","no","1-Aug-2013","2-Aug-2013","no","yes",55
"Saipan","LADT","H'F","H","F","no","no","1-Aug-2013","2-Aug-2013","no","yes",48
"Saipan","LADT","H'G","H","G","no","no","1-Aug-2013","2-Aug-2013","no","yes",51
"Saipan","LADT","H'H","H","H","no","no","1-Aug-2013","2-Aug-2013","no","yes",59
"Saipan","LADT","H'I","H","I","no","no","1-Aug-2013","3-Aug-2013","no","yes",57
"Saipan","LADT","H'J","H","J","no","no","1-Aug-2013","4-Aug-2013","no","yes",49
"Saipan","Forbi","H'K","H","K","no","no","1-Aug-2013","2-Aug-2013","no","yes",52
"Saipan","Forbi","H'L","H","L","no","no","1-Aug-2013","2-Aug-2013","no","yes",31
"Saipan","Forbi","H'M","H","M","no","no","1-Aug-2013","2-Aug-2013","no","no",27
"Saipan","Forbi","H'N","H","N","no","no","1-Aug-2013","3-Aug-2013","no","yes",51
"Saipan","Forbi","H'O","H","O","no","no","1-Aug-2013","4-Aug-2013","no","yes",47
"Saipan","Forbi","H'P","H","P","no","no","1-Aug-2013","5-Aug-2013","no","yes",62
"Saipan","Forbi","H'Q","H","Q","no","yes","1-Aug-2013","2-Aug-2013","no","no",55
"Saipan","Forbi","H'R","H","R","no","yes","1-Aug-2013","4-Aug-2013","no","yes",45
"Saipan","Forbi","H'S","H","S","no","yes","1-Aug-2013","5-Aug-2013","no","no",49
"Saipan","Forbi","H'T","H","T","no","yes","1-Aug-2013","6-Aug-2013","no","no",46
"Saipan","Forbi","H'U","H","U","no","yes","1-Aug-2013","7-Aug-2013","yes","no",56
"Saipan","LADT","H'V","H","V","no","yes","30-Jul-2013","2-Aug-2013","no","yes",51
"Saipan","LADT","H'W","H","W","no","yes","30-Jul-2013","2-Aug-2013","no","no",57
