Specimen,Species,Subspecies,Country,Region,Habit,Habitat,Herbarium,Leaves_imaged,Floral_bracts_imaged,Photographer_leaves,Photographer_floral_bracts,Coating_leaves,Coating_floral_bracts,Classification_leaves,Classification_floral_bracts
Clark_and_Tenorio_948,G_aculeata,x,Mexico,Central_America,Big_Erect,Forest,ISC,Yes,No,EKM,x,Ir,x,EKM,x
Clark_and_Tenorio_949,G_aculeata,x,Mexico,Mexico,Big_Erect,Forest,ISC,Yes,Yes,LGC,EKM,Au,Pt,EKM,EKM
Liebmann_131,G_aculeata,x,Mexico,Mexico,Big_Erect,Forest,US,Yes,No,LGC,x,Au,x,EKM,x
Liebmann_141,G_aculeata,x,Mexico,Mexico,Big_Erect,Forest,US,Yes,No,LGC,x,Au,x,EKM,x
Little_25168,G_aculeata,x,Nicaragua,Central_America,Big_Erect,Forest,US,Yes,No,LGC,x,Au,x,EKM,x
McClure_21556,G_aculeata,x,Nicaragua,Central_America,Big_Erect,Forest,ISC,Yes,Yes,EKM,EKM,Ir,Ir,EKM,JAC
McClure_21572,G_aculeata,x,Guatemala,Central_America,Big_Erect,Forest,ISC,Yes,Yes,EKM,EKM,Ir,Ir,EKM,JAC
McClure_21675,G_aculeata,x,Guatemala,Central_America,Big_Erect,Forest,US,Yes,No,LGC,x,Au,x,EKM,x
Ortiz_2059,G_aculeata,x,Nicaragua,Central_America,Big_Erect,Forest,ISC,Yes,Yes,EKM,EKM,Ir,Ir,EKM,JAC
Stevens_and_Moreno_19690,G_aculeata,x,Nicaragua,Central_America,Big_Erect,Forest,ISC,Yes,Yes,EKM,EKM,Ir,Ir,EKM,JAC
Young_205,G_aculeata,x,Mexico,Mexico,Big_Erect,Forest,US,Yes,No,LGC,x,Au,x,EKM,x
Allen_4039,G_amplexifolia,x,Panama,Central_America,Big_Erect,River,ISC,Yes,Yes,LGC,EKM,Au,Ir,EKM,JAC
Clark_et_al_1144,G_amplexifolia,x,Mexico,Mexico,Big_Erect,River,ISC,Yes,No,LGC,x,Au,x,EKM,x
Clark_et_al_465,G_amplexifolia,x,Mexico,Mexico,Big_Erect,River,ISC,Yes,No,EKM,x,Ir,x,EKM,x
Clark_et_al_474,G_amplexifolia,x,Mexico,Mexico,Big_Erect,River,ISC,Yes,No,LGC,x,Au,x,EKM,x
Curran_362,G_amplexifolia,x,Colombia,Andes,Big_Erect,River,US,Yes,No,LGC,x,Au,x,EKM,x
Londono_and_Clark_925,G_amplexifolia,x,Mexico,Mexico,Big_Erect,River,ISC,Yes,No,EKM,x,Ir,x,EKM,x
McClure_21268,G_amplexifolia,x,Venezuela,Andes,Big_Erect,River,ISC,Yes,Yes,LGC,EKM,Au,Pt,EKM,EKM
Stevens_8606,G_amplexifolia,x,Nicaragua,Central_America,Big_Erect,River,ISC,No,Yes,x,EKM,x,Ir,x,JAC
Stevens_and_Moreno_19559,G_amplexifolia,x,Nicaragua,Central_America,Big_Erect,River,ISC,No,Yes,x,EKM,x,Ir,x,JAC
Torres_SN,G_amplexifolia,x,Venezuela,Andes,Big_Erect,River,ISC,No,Yes,x,EKM,x,Ir,x,JAC
Young_204,G_amplexifolia,x,Mexico,Mexico,Big_Erect,River,US,Yes,No,LGC,x,Au,x,EKM,x
Fosberg_19831,G_angustifolia,x,Colombia,Andes,Big_Erect,Forest,ISC,Yes,Yes,EKM,EKM,Ir,Ir,EKM,JAC
Foster_13140,G_angustifolia,x,Peru,Andes,Big_Erect,Forest,US,Yes,No,LGC,x,Au,x,EKM,x
